time	se1	tm1	se2	tm2	se3	tm3	se4	tm4	se5	tm5	tmp
17:15:15	0.0	0.0	0.94	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:15	0.0	0.0	0.94	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:15	0.0	0.0	0.94	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:16	0.0	0.0	0.94	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:16	0.0	0.0	0.93	0.0	1.19	0.0	0.0	0.0	0.0	0.0	0.0
17:15:16	0.0	0.0	0.93	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:16	0.0	0.0	0.94	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:16	0.0	0.0	0.94	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:16	0.0	0.0	0.94	0.0	1.18	0.0	0.0	0.0	0.0	0.0	0.0
17:15:16	0.0	0.0	0.94	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0
17:15:17	0.0	0.0	0.94	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0
17:15:17	0.0	0.0	0.94	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0
17:15:17	0.0	0.0	0.94	0.0	1.17	0.0	0.0	0.0	0.0	0.0	0.0
17:15:17	0.0	0.0	0.94	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:17	0.0	0.0	0.94	0.0	1.16	0.0	0.0	0.0	0.0	0.0	0.0
17:15:17	0.0	0.0	0.94	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0
17:15:18	0.0	0.0	0.93	0.0	1.15	0.0	0.0	0.0	0.0	0.0	0.0
17:15:18	0.0	0.0	0.93	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0
17:15:18	0.0	0.0	0.93	0.0	1.14	0.0	0.0	0.0	0.0	0.0	0.0
